title,Cumulative Worldwide Gross,Budget,Opening Weekend United States,rating,runtimes,votes,aspect ratio
Sausage Party (2016),141359583.0,19000000.0,33600000.0,6.1,89,167063.0,1.85
Café Society (2016),34314223.0,30000000.0,359289.0,6.6,96,66475.0,2.00
Swiss Army Man (2016),4121261.0,3000000.0,674288.0,7.0,97,98750.0,2.39:1
Teenage Mutant Ninja Turtles: Out of the Shadows (2016),245623848.0,135000000.0,165685.0,6.0,112,80695.0,2.35
Ghostbusters (2016),229147509.0,144000000.0,46018755.0,5.2,116,195858.0,1.43
Central Intelligence (2016),217196811.0,50000000.0,35535250.0,6.3,107,149124.0,2.35
Jason Bourne (2016),415484914.0,120000000.0,59215365.0,6.6,123,198723.0,2.39
The Purge: Election Year (2016),118685662.0,10000000.0,30870000.0,6.0,108,84847.0,2.39
Mike and Dave Need Wedding Dates (2016),56148540.0,33000000.0,16628170.0,6.0,98,78700.0,2.39
Ice Age: Collision Course (2016),408579038.0,105000000.0,21373064.0,5.7,94,52643.0,1.78
Lights Out (2016),148868835.0,4900000.0,21688103.0,6.3,81,107723.0,2.35
Pete's Dragon (2016),143695338.0,65000000.0,21514095.0,6.7,102,51565.0,2.35
Nerve (2016),33003464.0,20000000.0,9445456.0,6.5,96,108985.0,2.35
Sully (2016),240797623.0,60000000.0,35028301.0,7.4,96,219878.0,1.90
Bad Moms (2016),183936074.0,20000000.0,23817340.0,6.2,100,107967.0,2.39
Hell or High Water (2016),26749794.0,12000000.0,621329.0,7.6,102,189962.0,2.35
Southside with You (2016),7000000.0,1500000.0,2868956.0,6.4,84,7523.0,2.35
Don't Breathe (2016),159047649.0,9900000.0,26411706.0,7.1,88,203175.0,2.35
The Magnificent Seven (2016),162526238.0,90000000.0,34703397.0,6.9,132,176514.0,2.39
Moonlight (2016),55561162.0,1500000.0,1488740.0,7.4,111,250038.0,2.39
Masterminds (2016),17281714.0,25000000.0,6541205.0,5.8,95,47893.0,1.78
Kubo and the Two Strings (2016),76257813.0,60000000.0,12608372.0,7.8,101,111774.0,2.35
Bridget Jones's Baby (2016),211952420.0,35000000.0,8571785.0,6.5,123,64243.0,2.39
Morgan (2016),7315248.0,8000000.0,504908.0,5.8,92,37403.0,2.35
Queen of Katwe (2016),10367161.0,15000000.0,304933.0,7.4,124,14125.0,2.39
Miss Peregrine's Home for Peculiar Children (2016),296477016.0,110000000.0,28871140.0,6.7,127,148137.0,1.37
The Girl on the Train (2016),173185859.0,45000000.0,24536265.0,6.5,112,160198.0,1.85
