,title,Cumulative Worldwide Gross,Budget,Opening Weekend United States,rating,runtimes,votes,aspect ratio
0,Warm Bodies,116980662.0,35000000.0,20353967.0,6.9,98,213348.0,2.35
1,The Guilt Trip,41860614.0,40000000.0,5390000.0,5.7,95,34461.0,2.35
2,Jack Reacher,218340595.0,60000000.0,15210156.0,7.0,130,295170.0,2.35
3,Django Unchained,425368238.0,100000000.0,30688000.0,8.4,165,1277972.0,2.39
4,This Is 40,88058786.0,35000000.0,12030690.0,6.2,134,122476.0,2.35
5,Parental Guidance,119772232.0,25000000.0,14800000.0,6.0,105,24249.0,1.85
6,Texas Chainsaw 3D,47241945.0,20000000.0,21744470.0,4.8,92,43574.0,2.35
7,Gangster Squad,105200903.0,60000000.0,17070347.0,6.7,113,200800.0,2.39
8,A Haunted House,60141683.0,2500000.0,18101682.0,5.0,86,41956.0,1.85
9,The Last Stand,48330757.0,45000000.0,6281433.0,6.3,107,129795.0,2.35
10,Parker,48543388.0,35000000.0,7008222.0,6.2,118,109036.0,2.35
11,Side Effects,63372757.0,30000000.0,9303145.0,7.1,106,174174.0,1.85
12,Identity Thief,173965010.0,35000000.0,34551025.0,5.7,111,119689.0,2.35
13,Beautiful Creatures,60052138.0,60000000.0,7582595.0,6.1,124,81835.0,2.35
14,A Good Day to Die Hard,304654182.0,92000000.0,24834845.0,5.3,98,192970.0,1.85
15,21 & Over,45582380.0,13000000.0,8754168.0,5.8,93,70311.0,2.35
16,Safe Haven,97594140.0,28000000.0,21401594.0,6.7,115,100401.0,2.35
17,Universal Soldier: Day of Reckoning,1402307.0,11500000.0,3181.0,5.0,114,18671.0,2.35
18,Escape from Planet Earth,74597643.0,40000000.0,15891055.0,5.9,89,23887.0,2.35
19,Before Midnight,23380979.0,3000000.0,246914.0,7.9,109,130528.0,1.85
20,Snitch,57824674.0,15000000.0,13167607.0,6.4,112,80495.0,2.35
21,G.I. Joe: Retaliation,375740705.0,130000000.0,40501814.0,5.8,110,169065.0,2.35
22,Oz: The Great and Powerful,493311825.0,215000000.0,79110453.0,6.3,130,195338.0,1.33
23,The Croods,587204668.0,135000000.0,43639736.0,7.2,98,183102.0,2.39
24,The Call,68572378.0,13000000.0,17118745.0,6.7,94,107385.0,1.85
25,Olympus Has Fallen,161025640.0,70000000.0,30373794.0,6.5,119,247370.0,2.39
26,The Host,63327201.0,40000000.0,10600112.0,5.9,125,108071.0,2.35
27,Evil Dead,97542952.0,17000000.0,25775847.0,6.5,91,151273.0,2.39
28,Oblivion,286168572.0,120000000.0,37054485.0,7.0,124,468606.0,1.90
29,Scary Movie 5,78378744.0,20000000.0,14157367.0,3.5,88,62687.0,1.85
30,Pain & Gain,86175291.0,26000000.0,20244505.0,6.4,129,194022.0,2.39
31,This Is the End,126041322.0,32000000.0,20719162.0,6.6,107,371929.0,2.35
32,Iron Man 3,1215439994.0,200000000.0,174144585.0,7.2,130,723971.0,2.39
33,Star Trek Into Darkness,467365246.0,190000000.0,70165559.0,7.7,132,453772.0,1.43
34,The Internship,93492844.0,58000000.0,17325307.0,6.3,119,184149.0,2.35
35,The Hangover Part III,362000072.0,103000000.0,41775000.0,5.8,100,281900.0,2.39
36,Fast & Furious 6,788679850.0,160000000.0,97375245.0,7.1,130,356824.0,2.39
37,Epic,268426634.0,100000000.0,33531068.0,6.7,102,97388.0,2.35
38,After Earth,243843127.0,130000000.0,27520040.0,4.8,100,186531.0,2.35
39,Now You See Me,351723989.0,75000000.0,29350389.0,7.3,115,572352.0,2.39
40,Man of Steel,668045518.0,225000000.0,116619362.0,7.1,143,667587.0,2.35
41,The Purge,89328627.0,3000000.0,34058360.0,5.7,85,193170.0,2.39
42,20 Feet from Stardom,5892661.0,1000000.0,54596.0,7.4,91,11785.0,1.78
43,Monsters University,743559607.0,200000000.0,82429469.0,7.3,104,306333.0,1.85
44,Pacific Rim,411002906.0,190000000.0,37285325.0,6.9,131,454166.0,1.85
45,World War Z,540007876.0,190000000.0,66411834.0,7.0,116,576234.0,2.39
46,Elysium,286140700.0,115000000.0,29807393.0,6.6,109,407519.0,2.35
47,Despicable Me 2,970761885.0,76000000.0,83517315.0,7.3,98,356510.0,1.85
48,White House Down,205366737.0,150000000.0,24852258.0,6.4,131,198906.0,2.39
49,The Heat,229930771.0,43000000.0,39115043.0,6.6,117,157553.0,2.35
50,The Lone Ranger,260502115.0,215000000.0,29210849.0,6.4,150,214489.0,2.39
51,R.I.P.D.,78324220.0,130000000.0,12691415.0,5.6,96,113782.0,2.35
52,The Conjuring,318000141.0,20000000.0,41855326.0,7.5,112,419570.0,2.39
53,Turbo,282570682.0,135000000.0,21312625.0,6.4,96,79017.0,2.39
54,The Wolverine,414828246.0,120000000.0,53113752.0,6.7,126,415269.0,2.39
55,RED 2,148075565.0,84000000.0,18048422.0,6.6,116,153974.0,2.39
56,2 Guns,131940411.0,61000000.0,27059130.0,6.7,109,188087.0,2.39
57,Blue Jasmine,99206215.0,18000000.0,612064.0,7.3,98,185286.0,2.35
58,Percy Jackson: Sea of Monsters,199850315.0,90000000.0,14401054.0,5.8,106,105938.0,2.39
59,The Smurfs 2,347545360.0,105000000.0,17548389.0,5.3,105,35871.0,1.85
60,We're the Millers,269994119.0,37000000.0,26419396.0,7.0,110,386096.0,2.39
61,Grown Ups 2,246984278.0,80000000.0,41508572.0,5.4,101,134171.0,1.85
62,Planes,239258712.0,50000000.0,22232291.0,5.7,91,40965.0,1.85
63,The Mortal Instruments: City of Bones,90565421.0,60000000.0,9336957.0,5.9,130,124514.0,2.35
64,The Butler,176598908.0,30000000.0,24637312.0,7.2,132,105040.0,1.85
65,One Direction: This Is Us,68532898.0,10000000.0,18472875.0,4.2,92,23117.0,1.85
66,Prisoners,122126687.0,46000000.0,20817053.0,8.1,153,559170.0,1.85
67,Insidious: Chapter 2,161919318.0,5000000.0,41050000.0,6.6,106,147885.0,2.35
68,The Family,78418811.0,30000000.0,14034764.0,6.3,111,105998.0,2.35
69,Battle of the Year,16549477.0,20000000.0,4603177.0,5.0,110,8906.0,1.85
70,Nebraska,24773560.0,12000000.0,1552426.0,7.7,115,108544.0,2.35
71,Don Jon,30450756.0,3000000.0,8677009.0,6.5,90,222337.0,2.35
72,Runner Runner,62675095.0,30000000.0,7706712.0,5.6,88,59341.0,2.35
73,Parkland,1628565.0,10000000.0,310246.0,6.3,93,14508.0,1.85
74,Cloudy with a Chance of Meatballs 2,274325949.0,78000000.0,34017930.0,6.4,95,85459.0,2.35
75,Captain Phillips,218791811.0,55000000.0,25718314.0,7.8,134,402382.0,2.35
76,Machete Kills,15008161.0,20000000.0,3797000.0,5.6,107,72176.0,1.85
77,Escape Plan,137328301.0,50000000.0,9800000.0,6.7,115,219625.0,2.35
78,Carrie,84790678.0,30000000.0,17000000.0,5.9,100,129112.0,2.35
79,All Is Lost,13627519.0,9000000.0,93583.0,6.9,106,73391.0,2.35
80,Ender's Game,125537191.0,110000000.0,27017351.0,6.6,114,216940.0,2.35
81,Bad Grandpa,151831537.0,15000000.0,32055177.0,6.5,92,87404.0,1.85
82,Thor: The Dark World,644783140.0,170000000.0,85737841.0,6.9,112,568140.0,2.39
83,Dallas Buyers Club,55198285.0,5000000.0,260865.0,8.0,117,419252.0,2.35
84,Free Birds,110387072.0,55000000.0,15805237.0,5.9,91,21673.0,1.85
85,Last Vegas,134402450.0,28000000.0,16334566.0,6.6,105,124391.0,2.35
86,The Book Thief,76586316.0,19000000.0,4864861.0,7.6,131,122722.0,2.35
87,The Best Man Holiday,72835710.0,17000000.0,30593000.0,6.7,123,14423.0,2.35
88,The Hunger Games: Catching Fire,864912963.0,130000000.0,161125000.0,7.5,146,591966.0,1.43
89,47 Ronin,151783839.0,175000000.0,9869000.0,6.2,128,140975.0,2.35
90,Delivery Man,70541159.0,26000000.0,8215000.0,6.4,105,72867.0,2.35
91,Frozen,1276480335.0,150000000.0,67391326.0,7.5,102,548628.0,2.24
92,Inside Llewyn Davis,32935319.0,11000000.0,405411.0,7.5,104,131012.0,1.85
93,The Wolf of Wall Street,392000694.0,100000000.0,18361578.0,8.2,180,1098819.0,1.85
94,Homefront,51695362.0,22000000.0,6915241.0,6.5,100,102179.0,2.35
95,August: Osage County,73745738.0,25000000.0,139915.0,7.2,121,81758.0,2.35
96,American Hustle,251171807.0,40000000.0,740455.0,7.2,138,432240.0,2.39
97,The Secret Life of Walter Mitty,188133322.0,90000000.0,13000000.0,7.3,114,283505.0,2.39
98,Her,47351251.0,23000000.0,260382.0,8.0,126,503902.0,1.85
99,Lone Survivor,154802912.0,40000000.0,84857.0,7.5,121,255957.0,2.35
100,Saving Mr. Banks,117867984.0,35000000.0,9344381.0,7.5,125,146069.0,2.39
101,Oldboy,5186767.0,30000000.0,885382.0,5.7,104,65715.0,2.35
102,Anchorman 2: The Legend Continues,172952707.0,50000000.0,26232425.0,6.3,119,162161.0,2.35
103,Fun Size,11417362.0,14000000.0,4101017.0,5.4,86,13291.0,2.39
104,High School,109099.0,10000000.0,239034.0,5.8,99,7171.0,2.35
