,title,Cumulative Worldwide Gross,Budget,Opening Weekend United States,rating,runtimes,votes,aspect ratio
72,Madea's Family Reunion,63308879.0,6000000.0,30030661.0,5.2,107,10320.0,1.85
73,Ultraviolet,12534399.0,30000000.0,9064880.0,4.4,88,77879.0,1.85
74,16 Blocks,65664721.0,52000000.0,11855260.0,6.6,102,123941.0,2.35
75,Failure to Launch,128406887.0,50000000.0,24411322.0,5.6,97,69826.0,2.35
76,Ice Age: The Meltdown,660940780.0,80000000.0,68033544.0,6.8,91,245299.0,1.85
77,V for Vendetta,132511035.0,54000000.0,25642640.0,8.2,132,986326.0,2.35
78,She's the Man,57194667.0,20000000.0,10730372.0,6.3,105,141145.0,1.85
79,Inside Man,184376254.0,45000000.0,28954945.0,7.6,129,323551.0,2.35
80,The Hills Have Eyes,70355813.0,15000000.0,15708512.0,6.4,107,153430.0,2.35
81,The Shaggy Dog,87134280.0,50000000.0,16310058.0,4.4,98,17675.0,1.78
82,Take the Lead,65742529.0,30000000.0,12051277.0,6.6,118,24219.0,1.85
83,Stay Alive,27105095.0,7000000.0,10726406.0,5.1,85,29282.0,2.35
84,Scary Movie 4,178262620.0,45000000.0,40222875.0,5.1,83,110029.0,1.85
85,The Sentinel,78084827.0,60000000.0,14367854.0,6.1,108,46727.0,2.35
86,American Dreamz,7369157.0,17000000.0,3667420.0,5.4,107,23932.0,1.85
87,Mission: Impossible III,397850012.0,150000000.0,47743273.0,6.9,126,317320.0,2.35
88,United 93,77635035.0,15000000.0,11478360.0,7.5,111,95275.0,2.39
89,Over the Hedge,336002996.0,80000000.0,38457003.0,6.7,83,153115.0,1.85
90,Poseidon,181674817.0,160000000.0,22155410.0,5.6,98,94856.0,2.35
91,The Da Vinci Code,758239851.0,125000000.0,77073388.0,6.6,149,385188.0,2.39
92,The Break-Up,204999686.0,52000000.0,39172785.0,5.8,106,120945.0,1.85
93,Peaceful Warrior,222340.0,10000000.0,80602.0,7.3,120,25656.0,2.35
94,Cars,461981126.0,120000000.0,60119509.0,7.1,117,347860.0,1.37
95,The Omen,119498909.0,25000000.0,16026496.0,5.5,110,54886.0,1.85
96,Nacho Libre,99255460.0,32000000.0,28309599.0,5.7,92,78410.0,1.85
97,The Lake House,114830111.0,40000000.0,13616196.0,6.8,99,134307.0,2.35
98,Click,237681299.0,70000000.0,40011365.0,6.4,107,293773.0,1.85
99,The Devil Wears Prada,326551094.0,35000000.0,27537244.0,6.9,109,353545.0,2.35
100,Pirates of the Caribbean: Dead Man's Chest,1066179725.0,225000000.0,135634554.0,7.3,151,632371.0,2.39
101,"You, Me and Dupree",130431368.0,54000000.0,21525560.0,5.6,110,76427.0,1.85
102,Lady in the Water,72785169.0,70000000.0,18044396.0,5.5,110,92708.0,1.85
103,My Super Ex-Girlfriend,60896147.0,30000000.0,8603460.0,5.1,96,60293.0,2.35
104,Marie Antoinette,60862471.0,40000000.0,5361050.0,6.4,123,96136.0,1.85
105,Who Killed the Electric Car?,1222746.0,1000000.0,45138.0,7.6,92,11982.0,1.75
106,The Fast and the Furious: Tokyo Drift,158468292.0,85000000.0,23973840.0,6.0,104,229459.0,2.39
107,Superman Returns,391081192.0,209000000.0,52535096.0,6.0,154,265353.0,2.35
108,Little Miss Sunshine,100523181.0,8000000.0,370782.0,7.8,101,422968.0,2.35
