,title,Cumulative Worldwide Gross,Budget,Opening Weekend United States,rating,runtimes,votes,aspect ratio
1939,The 5th Wave,111336398.0,38000000.0,10326356.0,5.2,112,94856.0,2.35
1940,The Big Short,133346506.0,28000000.0,10531026.0,7.8,130,333342.0,2.35
1941,Zoolander 2,55969000.0,50000000.0,15650000.0,4.7,101,62215.0,2.39
1942,How to Be Single,112343513.0,38000000.0,18750000.0,6.1,110,77685.0,2.35
1943,Fifty Shades of Black,21164799.0,5000000.0,5900528.0,3.5,92,18489.0,2.35
1944,Nocturnal Animals,28450387.0,22500000.0,492648.0,7.5,116,220748.0,2.35
1945,Daddy's Home,242786137.0,50000000.0,38740203.0,6.2,96,102692.0,1.85
1946,Sisters,105929161.0,30000000.0,13922855.0,6.0,118,60862.0,2.35
1947,The Forest,30687600.0,10000000.0,12741176.0,4.8,93,38204.0,1.85
1948,Ride Along 2,125186461.0,40000000.0,34040000.0,5.9,102,51130.0,2.35
1949,The Boy,67159402.0,9000000.0,10778392.0,6.0,97,74119.0,2.35
1950,Dirty Grandpa,105078449.0,27500000.0,11111875.0,5.9,102,107445.0,2.35
1951,The Finest Hours,15265660.0,80000000.0,10288932.0,6.7,117,58693.0,2.39
1952,Gods of Egypt,150680864.0,140000000.0,14123903.0,5.4,127,100295.0,2.35
1953,10 Cloverfield Lane,110216998.0,15000000.0,24702752.0,7.2,103,275387.0,2.35
1954,Zootopia,1023784195.0,150000000.0,75063401.0,8.0,108,407563.0,2.39
1955,Whiskey Tango Foxtrot,24939010.0,35000000.0,7443007.0,6.6,112,47765.0,1.85
1956,My Big Fat Greek Wedding 2,92096558.0,18000000.0,17861950.0,6.0,94,27090.0,2.39
1957,The Huntsman: Winter's War,165536477.0,115000000.0,19445035.0,6.1,114,93025.0,2.39
1958,Neighbors 2: Sorority Rising,108872656.0,35000000.0,21760405.0,5.7,92,108396.0,2.35
1959,Money Monster,93466095.0,27000000.0,14788157.0,6.5,98,90395.0,2.39
1960,Barbershop: The Next Cut,55030051.0,20000000.0,20242415.0,5.9,111,13776.0,1.85
1961,Finding Dory,1028570889.0,200000000.0,135060273.0,7.3,97,226215.0,1.78
1962,The Nice Guys,62788218.0,50000000.0,11203270.0,7.4,116,257567.0,2.39
1963,Alvin and the Chipmunks: The Road Chip,249517956.0,90000000.0,14287159.0,5.0,92,15569.0,1.85
1964,The Shallows,119100758.0,17000000.0,16800868.0,6.3,86,113452.0,2.35
1965,Alice Through the Looking Glass,299455833.0,170000000.0,28112000.0,6.2,113,85953.0,1.85
1966,The BFG,199905224.0,140000000.0,19584969.0,6.4,117,73219.0,1.78
1967,Sausage Party,141359583.0,19000000.0,33600000.0,6.1,89,167063.0,1.85
1968,Café Society,34314223.0,30000000.0,359289.0,6.6,96,66475.0,2.00
1969,Swiss Army Man,4121261.0,3000000.0,674288.0,7.0,97,98750.0,2.39:1
1970,Teenage Mutant Ninja Turtles: Out of the Shadows,245623848.0,135000000.0,165685.0,6.0,112,80695.0,2.35
1971,Ghostbusters,229147509.0,144000000.0,46018755.0,5.2,116,195858.0,1.43
1972,Central Intelligence,217196811.0,50000000.0,35535250.0,6.3,107,149124.0,2.35
1973,Jason Bourne,415484914.0,120000000.0,59215365.0,6.6,123,198723.0,2.39
1974,The Purge: Election Year,118685662.0,10000000.0,30870000.0,6.0,108,84847.0,2.39
1975,Mike and Dave Need Wedding Dates,56148540.0,33000000.0,16628170.0,6.0,98,78700.0,2.39
1976,Ice Age: Collision Course,408579038.0,105000000.0,21373064.0,5.7,94,52643.0,1.78
1977,Lights Out,148868835.0,4900000.0,21688103.0,6.3,81,107723.0,2.35
1978,Pete's Dragon,143695338.0,65000000.0,21514095.0,6.7,102,51565.0,2.35
1979,Nerve,33003464.0,20000000.0,9445456.0,6.5,96,108985.0,2.35
1980,Sully,240797623.0,60000000.0,35028301.0,7.4,96,219878.0,1.90
1981,Bad Moms,183936074.0,20000000.0,23817340.0,6.2,100,107967.0,2.39
1982,Hell or High Water,26749794.0,12000000.0,621329.0,7.6,102,189962.0,2.35
1983,Southside with You,7000000.0,1500000.0,2868956.0,6.4,84,7523.0,2.35
1984,Don't Breathe,159047649.0,9900000.0,26411706.0,7.1,88,203175.0,2.35
1985,The Magnificent Seven,162526238.0,90000000.0,34703397.0,6.9,132,176514.0,2.39
1986,Moonlight,55561162.0,1500000.0,1488740.0,7.4,111,250038.0,2.39
1987,Masterminds,17281714.0,25000000.0,6541205.0,5.8,95,47893.0,1.78
1988,Kubo and the Two Strings,76257813.0,60000000.0,12608372.0,7.8,101,111774.0,2.35
1989,Bridget Jones's Baby,211952420.0,35000000.0,8571785.0,6.5,123,64243.0,2.39
1990,Morgan,7315248.0,8000000.0,504908.0,5.8,92,37403.0,2.35
1991,Queen of Katwe,10367161.0,15000000.0,304933.0,7.4,124,14125.0,2.39
1992,Miss Peregrine's Home for Peculiar Children,296477016.0,110000000.0,28871140.0,6.7,127,148137.0,1.37
1993,The Girl on the Train,173185859.0,45000000.0,24536265.0,6.5,112,160198.0,1.85
1994,Middle School: The Worst Years of My Life,20611649.0,8500000.0,6878437.0,6.1,92,7060.0,2.39
1995,The Accountant,155160045.0,44000000.0,24710273.0,7.3,128,246141.0,2.35
1996,Arrival,203388186.0,47000000.0,24000000.0,7.9,116,554139.0,2.39
1997,Storks,183388953.0,70000000.0,21311407.0,6.8,87,53124.0,2.35
1998,La La Land,446092357.0,30000000.0,9242782.0,8.0,128,468934.0,2.55
1999,Inferno,220021259.0,75000000.0,14860425.0,6.2,121,148089.0,1.85
2000,Keeping Up with the Joneses,28939621.0,40000000.0,5461475.0,5.9,105,54613.0,2.39
2001,Ouija: Origin of Evil,79496033.0,9000000.0,14065500.0,6.1,99,50460.0,1.85
2002,Trolls,346864462.0,125000000.0,46581142.0,6.5,92,66653.0,2.39
2003,Manchester by the Sea,62201310.0,8500000.0,4223828.0,7.8,137,229533.0,1.85
2004,Bad Santa 2,24079268.0,26000000.0,6176680.0,5.6,92,21683.0,1.85
2005,Almost Christmas,42487325.0,17000000.0,15564000.0,6.1,111,5622.0,2.35
2006,Collateral Beauty,88528280.0,36000000.0,7102085.0,6.8,97,85211.0,2.35
2007,Moana,643331111.0,150000000.0,56631401.0,7.6,107,246373.0,2.39
2008,Jackie,11692444.0,9000000.0,278715.0,6.7,100,69504.0,1.33
2009,Office Christmas Party,114501299.0,45000000.0,17500000.0,5.8,105,64835.0,2.35
2010,The Space Between Us,16481405.0,30000000.0,3775596.0,6.4,120,44902.0,2.35
2011,Rogue One: A Star Wars Story,1056057273.0,200000000.0,155081681.0,7.8,133,522653.0,2.39
2012,Live by Night,16706524.0,108000000.0,74618.0,6.4,129,49407.0,2.39
2013,Split,278454358.0,9000000.0,40010975.0,7.3,117,394569.0,2.39
2014,Underworld: Blood Wars,76130534.0,35000000.0,13688751.0,5.8,91,66197.0,2.35
2015,Passengers,303144152.0,110000000.0,14869736.0,7.0,116,329279.0,2.39
2016,Hidden Figures,235956898.0,25000000.0,22800057.0,7.8,127,184778.0,2.39
2017,Fences,64098857.0,24000000.0,11600170.0,7.2,139,92383.0,2.39
2018,20th Century Women,5757620.0,7000000.0,1385336.0,7.3,119,36127.0,2.00
2019,The Great Wall,334933831.0,150000000.0,18469620.0,5.9,103,118781.0,2.39
2020,The Founder,24403192.0,25000000.0,3404102.0,7.2,115,109135.0,2.35
2021,Why Him?,118102725.0,38000000.0,11002986.0,6.2,111,95616.0,1.85
2022,Assassin's Creed,240942515.0,125000000.0,10278225.0,5.7,115,175745.0,2.35
2023,A Dog's Purpose,204361517.0,22000000.0,18222810.0,7.2,100,60900.0,2.35
2024,Gold,7653901.0,20000000.0,3471316.0,6.7,120,53505.0,2.35
2025,Fist Fight,41087017.0,22000000.0,12201873.0,5.6,91,37545.0,1.85
2026,Sleepless,17413596.0,30000000.0,8468787.0,5.6,95,27488.0,2.35
2027,A Cure for Wellness,26559557.0,40000000.0,4356941.0,6.4,146,77942.0,1.66
2028,The Bye Bye Man,23239232.0,7400000.0,13378000.0,4.2,96,19898.0,1.85
2029,The Lego Batman Movie,311950384.0,80000000.0,53003468.0,7.3,104,124486.0,2.35
