smart title
Toy Story (1995)
Jumanji (1995)
Heat (1995)
Ace Ventura: When Nature Calls (1995)
Dangerous Minds (1995)
12 Monkeys (1995)
Clueless (1995)
Mortal Kombat (1995)
Se7en (1995)
Pocahontas (1995)
The Usual Suspects (1995)
Eye for an Eye (1996)
Mr. Holland's Opus (1995)
From Dusk Till Dawn (1996)
Mary Reilly (1996)
Vampire in Brooklyn (1995)
Braveheart (1995)
Up Close & Personal (1996)
The Birdcage (1996)
Bad Boys (1995)
Apollo 13 (1995)
Batman Forever (1995)
Congo (1995)
Crimson Tide (1995)
Die Hard with a Vengeance (1995)
First Knight (1995)
Judge Dredd (1995)
Mighty Morphin Power Rangers: The Movie (1995)
The Net (1995)
Waterworld (1995)
Before Sunrise (1995)
Disclosure (1994)
Dumb and Dumber (1994)
Interview with the Vampire: The Vampire Chronicles (1994)
Star Wars: Episode IV - A New Hope (1977)
Legends of the Fall (1994)
Frankenstein (1994)
Outbreak (1995)
Pulp Fiction (1994)
The Specialist (1994)
Stargate (1994)
The Shawshank Redemption (1994)
Star Trek: Generations (1994)
Clear and Present Danger (1994)
Forrest Gump (1994)
The Lion King (1994)
New Nightmare (1994)
The Mask (1994)
Maverick (1994)
Speed (1994)
True Lies (1994)
Wolf (1994)
Wyatt Earp (1994)
The Beverly Hillbillies (1993)
Beverly Hills Cop III (1994)
Carlito's Way (1993)
Cliffhanger (1993)
Demolition Man (1993)
The Firm (1993)
Free Willy (1993)
The Fugitive (1993)
Getting Even with Dad (1994)
Hard Target (1993)
Jurassic Park (1993)
Last Action Hero (1993)
Made in America (1993)
Executive Decision (1996)
A Perfect World (1993)
Rising Sun (1993)
Schindler's List (1993)
The Shadow (1994)
Sleepless in Seattle (1993)
Sliver (1993)
Home Alone (1990)
Ghost (1990)
Aladdin (1992)
El Exterminator 2 (1991)
Dances with Wolves (1990)
Batman (1989)
The Silence of the Lambs (1991)
Blancanieves y los siete enanos (1937)
Beauty and the Beast (1991)
Pinocchio (1940)
Pretty Woman (1990)
Fargo (1996)
Primal Fear (1996)
Courage Under Fire (1996)
Mission: Impossible (1996)
DragonHeart (1996)
Eddie (1996)
Space Jam (1996)
The Quest (1996)
Multiplicity (1996)
The Craft (1996)
The Rock (1996)
Twister (1996)
Spy Hard (1996)
Striptease (1996)
The Hunchback of Notre Dame (1996)
The Cable Guy (1996)
Kingpin (1996)
Eraser (1996)
The Nutty Professor (1996)
Daylight (1996)
Phenomenon (1996)
A Time to Kill (1996)
Fled (1996)
The First Wives Club (1996)
Ransom (1996)
Chain Reaction (1996)
The Crow: City of Angels (1996)
Tin Cup (1996)
The Godfather (1972)
The Island of Dr. Moreau (1996)
Rear Window (1954)
Gone with the Wind (1939)
2001: A Space Odyssey (1968)
Giant (1956)
Night of the Living Dead (1968)
Maximum Risk (1996)
Last Man Standing (1996)
The Glimmer Man (1996)
The Chamber (1996)
Robin Hood: Prince of Thieves (1991)
Die Hard (1988)
That Thing You Do! (1996)
Everyone Says I Love You (1996)
Romeo + Juliet (1996)
Sleepers (1996)
Dial M for Murder (1954)
Dirty Dancing (1987)
Reservoir Dogs (1992)
E.T. the Extra-Terrestrial (1982)
Top Gun (1986)
The Abyss (1989)
Escape from New York (1981)
The English Patient (1996)
Madonna: Truth or Dare (1991)
One Flew Over the Cuckoo's Nest (1975)
Star Wars: Episode V - The Empire Strikes Back (1980)
Raiders of the Lost Ark (1981)
Aliens (1986)
Star Wars: Episode VI - Return of the Jedi (1983)
Army of Darkness (1992)
Once Upon a Time in America (1984)
Dead Poets Society (1989)
The Graduate (1967)
Unforgiven (1992)
Back to the Future (1985)
Fantasia (1940)
Indiana Jones and the Last Crusade (1989)
Alien³ (1992)
The Mirror Has Two Faces (1996)
Star Trek: First Contact (1996)
101 Dalmatians (1996)
Die Hard 2 (1990)
Star Trek (1979)
Star Trek V: The Final Frontier (1989)
Star Trek II: The Wrath of Khan (1982)
Star Trek III: The Search for Spock (1984)
Star Trek IV: The Voyage Home (1986)
Batman Returns (1992)
Grease (1978)
Marked for Death (1990)
Jaws (1975)
Jaws 3-D (1983)
Mars Attacks! (1996)
Jerry Maguire (1996)
Scream (1996)
Evita (1996)
Murder at 1600 (1997)
Metro (1997)
Dante's Peak (1997)
Fools Rush In (1997)
Donnie Brasco (1997)
The Saint (1997)
Liar Liar (1997)
The Devil's Own (1997)
Turbo: A Power Rangers Movie (1997)
Double Team (1997)
Anaconda (1997)
Volcano (1997)
Austin Powers: International Man of Mystery (1997)
Fathers' Day (1997)
The Lost World: Jurassic Park (1997)
Con Air (1997)
Speed 2: Cruise Control (1997)
Batman & Robin (1997)
Hercules (1997)
My Best Friend's Wedding (1997)
Face/Off (1997)
Men in Black (1997)
Contact (1997)
G.I. Jane (1997)
George of the Jungle (1997)
Cop Land (1997)
Spawn (1997)
Picture Perfect (1997)
Conspiracy Theory (1997)
Air Force One (1997)
The Hunt for Red October (1990)
In & Out (1997)
The Edge (1997)
The Peacemaker (1997)
L.A. Confidential (1997)
Seven Years in Tibet (1997)
Kiss the Girls (1997)
The Game (1997)
Fire Down Below (1997)
I Know What You Did Last Summer (1997)
The Devil's Advocate (1997)
Gattaca (1997)
One Night Stand (1997)
Boogie Nights (1997)
Starship Troopers (1997)
Mortal Kombat: Annihilation (1997)
The Truman Show (1998)
Red Corner (1997)
The Jackal (1997)
Anastasia (1997)
Alien: Resurrection (1997)
Amistad (1997)
Deconstructing Harry (1997)
Flubber (1997)
Good Will Hunting (1997)
Home Alone 3 (1997)
Mousehunt (1997)
Scream 2 (1997)
Titanic (1997)
The Horse Whisperer (1998)
Jackie Brown (1997)
Mr. Magoo (1997)
The Big Lebowski (1998)
Great Expectations (1998)
Wag the Dog (1997)
Hard Rain (1998)
The Replacement Killers (1998)
Blues Brothers 2000 (1998)
The Wedding Singer (1998)
Sphere (1998)
As Good as It Gets (1997)
U.S. Marshals (1998)
Lost in Space (1998)
Mercury Rising (1998)
City of Angels (1998)
Deep Impact (1998)
Quest for Camelot (1998)
Godzilla (1998)
Hope Floats (1998)
A Perfect Murder (1998)
Six Days Seven Nights (1998)
Mulan (1998)
The X Files (1998)
Doctor Dolittle (1998)
Out of Sight (1998)
Armageddon (1998)
Lethal Weapon 4 (1998)
Small Soldiers (1998)
There's Something About Mary (1998)
Rocky (1976)
Terms of Endearment (1983)
Out of Africa (1985)
Rain Man (1988)
Repo Man (1984)
The Breakfast Club (1985)
Friday the 13th (1980)
Halloween II (1981)
Child's Play (1988)
Child's Play 2 (1990)
Poltergeist (1982)
The Exorcist (1973)
Lethal Weapon (1987)
Lethal Weapon 2 (1989)
Lethal Weapon 3 (1992)
The Mask of Zorro (1998)
Back to the Future Part III (1990)
The Poseidon Adventure (1972)
The Godfather: Part III (1990)
Jane Austen's Mafia! (1998)
Saving Private Ryan (1998)
"Honey, I Shrunk the Kids (1989)"
The 'Burbs (1989)
The Jungle Book (1967)
Lady and the Tramp (1955)
The Little Mermaid (1989)
101 Dalmatians (1961)
Peter Pan (1953)
Sleeping Beauty (1959)
Tall Tale (1995)
Indiana Jones and the Temple of Doom (1984)
Ever After: A Cinderella Story (1998)
Snake Eyes (1998)
The Avengers (1998)
Blade (1998)
Beetlejuice (1988)
The Untouchables (1987)
Broadcast News (1987)
Hero (1992)
Indecent Proposal (1993)
Rush Hour (1998)
Urban Legend (1998)
The Thing (1982)
The Player (1992)
Edward Scissorhands (1990)
Antz (1998)
What Dreams May Come (1998)
My Cousin Vinny (1992)
Bride of Chucky (1998)
Practical Magic (1998)
Pleasantville (1998)
American History X (1998)
The Siege (1998)
The Waterboy (1998)
I Still Know What You Did Last Summer (1998)
Meet Joe Black (1998)
Enemy of the State (1998)
The Rugrats Movie (1998)
A Bug's Life (1998)
King Kong (1976)
Fletch (1985)
The Money Pit (1986)
Police Academy 2: Their First Assignment (1985)
Psycho (1998)
Jack Frost (1998)
Star Trek: Insurrection (1998)
The Prince of Egypt (1998)
Shakespeare in Love (1998)
Rambo: First Blood Part II (1985)
First Blood (1982)
Rambo III (1988)
The Jewel of the Nile (1985)
Rocky II (1979)
Rocky III (1982)
Rocky IV (1985)
Rocky V (1990)
You've Got Mail (1998)
The Thin Red Line (1998)
Patch Adams (1998)
Stepmom (1998)
Virus (1999)
Howard the Duck (1986)
The Fly (1986)
The Texas Chainsaw Massacre 2 (1986)
She's All That (1999)
Payback (1999)
Blast from the Past (1999)
Message in a Bottle (1999)
Office Space (1999)
Analyze This (1999)
Cruel Intentions (1999)
The Deep End of the Ocean (1999)
The Rage: Carrie 2 (1999)
Baby Geniuses (1999)
Forces of Nature (1999)
Edtv (1999)
The Matrix (1999)
Never Been Kissed (1999)
Life (1999)
Entrapment (1999)
The Mummy (1999)
Star Wars: Episode I - The Phantom Menace (1999)
Mommie Dearest (1981)
Superman (1978)
Superman II (1980)
Austin Powers: The Spy Who Shagged Me (1999)
Tarzan (1999)
The General's Daughter (1999)
Big Daddy (1999)
"South Park: Bigger, Longer & Uncut (1999)"
Wild Wild West (1999)
American Pie (1999)
Arlington Road (1999)
Muppets from Space (1999)
The Blair Witch Project (1999)
Lake Placid (1999)
Ghostbusters (1984)
Ghostbusters II (1989)
La maldición (1999)
Inspector Gadget (1999)
Deep Blue Sea (1999)
Runaway Bride (1999)
The Color Purple (1985)
The Iron Giant (1999)
The Sixth Sense (1999)
The Thomas Crown Affair (1999)
Bowfinger (1999)
Big (1988)
Problem Child (1990)
Tequila Sunrise (1988)
The Pelican Brief (1993)
Universal Soldier: The Return (1999)
The 13th Warrior (1999)
Stigmata (1999)
American Beauty (1999)
Stop Making Sense (1984)
Excalibur (1981)
Double Jeopardy (1999)
Drive Me Crazy (1999)
Three Kings (1999)
Random Hearts (1999)
El vengador del futuro (1990)
Home Alone 2: Lost in New York (1992)
Fight Club (1999)
The Best Man (1999)
The Bachelor (1999)
The Bone Collector (1999)
Fatal Attraction (1987)
Midnight Run (1988)
Backdraft (1991)
End of Days (1999)
Toy Story 2 (1999)
Tumbleweeds (1999)
Deuce Bigalow: Male Gigolo (1999)
The Green Mile (1999)
The Cider House Rules (1999)
Anna and the King (1999)
Bicentennial Man (1999)
Fantasia 2000 (1999)
Magnolia (1999)
Any Given Sunday (1999)
Galaxy Quest (1999)
The Talented Mr. Ripley (1999)
Next Friday (2000)
The Hurricane (1999)
Pacific Heights (1990)
Sister Act (1992)
Scent of a Woman (1992)
Wayne's World (1992)
Patriot Games (1992)
The Bodyguard (1992)
Death Becomes Her (1992)
Stop! Or My Mom Will Shoot (1992)
Bad Lieutenant (1992)
Scream 3 (2000)
The Beach (2000)
Snow Day (2000)
The Tigger Movie (2000)
Pitch Black (2000)
The Whole Nine Yards (2000)
Wonder Boys (2000)
The Next Best Thing (2000)
Mission to Mars (2000)
Erin Brockovich (2000)
Final Destination (2000)
National Lampoon's Animal House (1978)
Death Wish II (1982)
Death Wish 3 (1985)
Dying Young (1991)
Band of the Hand (1986)
Romeo Must Die (2000)
The Road to El Dorado (2000)
Hook (1991)
Frequency (2000)
Arthur (1981)
Predator (1987)
28 Days (2000)
American Psycho (2000)
Keeping the Faith (2000)
Gossip (2000)
The Virgin Suicides (1999)
The Flintstones in Viva Rock Vegas (2000)
Gladiator (2000)
Battlefield Earth (2000)
Dinosaur (2000)
Loser (2000)
Road Trip (2000)
Mission: Impossible II (2000)
Shanghai Noon (2000)
Monsieur Verdoux (1947)
Predator 2 (1990)
Bird on a Wire (1990)
Gone in 60 Seconds (2000)
"Me, Myself & Irene (2000)"
