,title,Cumulative Worldwide Gross,Budget,Opening Weekend United States,rating,runtimes,votes,aspect ratio
0,Bridget Jones's Baby,211952420.0,35000000.0,8571785.0,6.5,123,64243.0,2.39
1,Morgan,7315248.0,8000000.0,504908.0,5.8,92,37403.0,2.35
2,Queen of Katwe,10367161.0,15000000.0,304933.0,7.4,124,14125.0,2.39
3,Miss Peregrine's Home for Peculiar Children,296477016.0,110000000.0,28871140.0,6.7,127,148137.0,1.37
4,The Girl on the Train,173185859.0,45000000.0,24536265.0,6.5,112,160198.0,1.85
5,Middle School: The Worst Years of My Life,20611649.0,8500000.0,6878437.0,6.1,92,7060.0,2.39
6,The Accountant,155160045.0,44000000.0,24710273.0,7.3,128,246141.0,2.35
7,Arrival,203388186.0,47000000.0,24000000.0,7.9,116,554139.0,2.39
8,Storks,183388953.0,70000000.0,21311407.0,6.8,87,53124.0,2.35
9,La La Land,446092357.0,30000000.0,9242782.0,8.0,128,468934.0,2.55
10,Inferno,220021259.0,75000000.0,14860425.0,6.2,121,148089.0,1.85
11,Keeping Up with the Joneses,28939621.0,40000000.0,5461475.0,5.9,105,54613.0,2.39
12,Ouija: Origin of Evil,79496033.0,9000000.0,14065500.0,6.1,99,50460.0,1.85
13,Trolls,346864462.0,125000000.0,46581142.0,6.5,92,66653.0,2.39
14,Manchester by the Sea,62201310.0,8500000.0,4223828.0,7.8,137,229533.0,1.85
15,Bad Santa 2,24079268.0,26000000.0,6176680.0,5.6,92,21683.0,1.85
16,Almost Christmas,42487325.0,17000000.0,15564000.0,6.1,111,5622.0,2.35
17,Collateral Beauty,88528280.0,36000000.0,7102085.0,6.8,97,85211.0,2.35
18,Moana,643331111.0,150000000.0,56631401.0,7.6,107,246373.0,2.39
19,Jackie,11692444.0,9000000.0,278715.0,6.7,100,69504.0,1.33
20,Office Christmas Party,114501299.0,45000000.0,17500000.0,5.8,105,64835.0,2.35
21,The Space Between Us,16481405.0,30000000.0,3775596.0,6.4,120,44902.0,2.35
22,Rogue One: A Star Wars Story,1056057273.0,200000000.0,155081681.0,7.8,133,522653.0,2.39
23,Live by Night,16706524.0,108000000.0,74618.0,6.4,129,49407.0,2.39
24,Split,278454358.0,9000000.0,40010975.0,7.3,117,394569.0,2.39
25,Underworld: Blood Wars,76130534.0,35000000.0,13688751.0,5.8,91,66197.0,2.35
26,Passengers,303144152.0,110000000.0,14869736.0,7.0,116,329279.0,2.39
27,Hidden Figures,235956898.0,25000000.0,22800057.0,7.8,127,184778.0,2.39
28,Fences,64098857.0,24000000.0,11600170.0,7.2,139,92383.0,2.39
29,20th Century Women,5757620.0,7000000.0,1385336.0,7.3,119,36127.0,2.00
30,The Great Wall,334933831.0,150000000.0,18469620.0,5.9,103,118781.0,2.39
31,The Founder,24403192.0,25000000.0,3404102.0,7.2,115,109135.0,2.35
32,Why Him?,118102725.0,38000000.0,11002986.0,6.2,111,95616.0,1.85
33,Assassin's Creed,240942515.0,125000000.0,10278225.0,5.7,115,175745.0,2.35
34,A Dog's Purpose,204361517.0,22000000.0,18222810.0,7.2,100,60900.0,2.35
35,Gold,7653901.0,20000000.0,3471316.0,6.7,120,53505.0,2.35
36,Fist Fight,41087017.0,22000000.0,12201873.0,5.6,91,37545.0,1.85
37,Sleepless,17413596.0,30000000.0,8468787.0,5.6,95,27488.0,2.35
38,A Cure for Wellness,26559557.0,40000000.0,4356941.0,6.4,146,77942.0,1.66
