,title,Cumulative Worldwide Gross,Budget,Opening Weekend United States,rating,runtimes,votes,aspect ratio
0,Trainwreck,140795793.0,35000000.0,30097040.0,6.2,125,125531.0,2.35
1,Entourage,49263404.0,30000000.0,10283250.0,6.6,104,73693.0,2.35
2,Inside Out,857611174.0,175000000.0,90440272.0,8.2,95,572102.0,1.85
3,The Hunger Games: Mockingjay - Part 2,653428261.0,160000000.0,102665981.0,6.5,137,267757.0,2.35
4,Pixels,244866996.0,88000000.0,24011616.0,5.5,105,125488.0,2.35
5,Allegiant,179246868.0,110000000.0,29027348.0,5.7,120,101843.0,2.35
6,The Secret Life of Pets,875457937.0,75000000.0,104352905.0,6.5,87,174473.0,1.85
7,Criminal,38803993.0,31500000.0,5767278.0,6.3,113,55554.0,2.35
8,The Last Witch Hunter,146936910.0,90000000.0,10812861.0,6.0,106,90617.0,2.35
9,Suicide Squad,746846894.0,175000000.0,133682248.0,6.0,123,570544.0,2.39
10,Independence Day: Resurgence,389681935.0,165000000.0,41039944.0,5.2,120,160460.0,2.39
11,Star Trek Beyond,343471816.0,185000000.0,59253211.0,7.1,122,218352.0,2.35
12,Ted 2,215863606.0,68000000.0,33507870.0,6.3,115,175209.0,2.39
13,Minions,1163534901.0,74000000.0,115200000.0,6.4,91,202911.0,1.85
14,The Good Dinosaur,331926147.0,200000000.0,39155217.0,6.7,93,96159.0,2.39
15,Black Mass,99775678.0,53000000.0,22635037.0,6.9,123,161221.0,2.35
16,Vacation,104884188.0,31000000.0,14681108.0,6.1,99,92031.0,2.35
17,Batman v Superman: Dawn of Justice,873634919.0,250000000.0,166007347.0,6.5,151,599612.0,1.43
18,Magic Mike XXL,122513057.0,14800000.0,11600000.0,5.6,115,50127.0,2.35
19,The Man from U.N.C.L.E.,109845109.0,75000000.0,13535000.0,7.3,116,253254.0,2.39
20,The Revenant,532950503.0,135000000.0,38000000.0,8.0,156,663095.0,2.39
21,Sicario,84872444.0,30000000.0,12148041.0,7.6,121,348261.0,2.39
22,The Vatican Tapes,10105081.0,8000000.0,321464.0,4.9,91,14344.0,1.85
23,The Intern,194564672.0,35000000.0,17728313.0,7.1,121,203295.0,1.85
24,The Visit,98450062.0,5000000.0,25427560.0,6.2,94,107420.0,1.85
25,Secret in Their Eyes,34854990.0,19500000.0,6652996.0,6.3,111,40174.0,2.35
26,Straight Outta Compton,201634991.0,28000000.0,60200180.0,7.9,147,171869.0,2.39
27,Joy,101134059.0,60000000.0,17015168.0,6.6,124,122730.0,1.85
28,War Room,73975239.0,3000000.0,11351389.0,6.5,120,12402.0,2.35
29,Spotlight,98275238.0,20000000.0,295009.0,8.1,129,390658.0,1.85
30,Hotel Transylvania 2,474800000.0,80000000.0,48464322.0,6.7,89,99569.0,1.85
31,Wonder Woman,821763408.0,149000000.0,103251471.0,7.4,141,520975.0,2.20
32,Silence,23737523.0,46000000.0,130880.0,7.2,161,92899.0,2.39
33,Pitch Perfect 3,185736412.0,45000000.0,19928525.0,5.8,93,51037.0,1.85
34,"Hail, Caesar!",62429013.0,22000000.0,11355225.0,6.3,106,116838.0,1.37
35,Goosebumps,156246468.0,67000000.0,23618556.0,6.3,103,76583.0,2.39
36,Trumbo,11430025.0,15000000.0,74177.0,7.5,124,71707.0,1.85
37,The Peanuts Movie,246233113.0,99000000.0,44213073.0,7.1,88,40543.0,1.85
38,Creed,173567581.0,35000000.0,29632823.0,7.6,133,236172.0,2.39
39,The 5th Wave,111336398.0,38000000.0,10326356.0,5.2,112,94856.0,2.35
40,The Big Short,133346506.0,28000000.0,10531026.0,7.8,130,333342.0,2.35
41,Zoolander 2,55969000.0,50000000.0,15650000.0,4.7,101,62215.0,2.39
42,How to Be Single,112343513.0,38000000.0,18750000.0,6.1,110,77685.0,2.35
43,Fifty Shades of Black,21164799.0,5000000.0,5900528.0,3.5,92,18489.0,2.35
44,Nocturnal Animals,28450387.0,22500000.0,492648.0,7.5,116,220748.0,2.35
45,Daddy's Home,242786137.0,50000000.0,38740203.0,6.2,96,102692.0,1.85
46,Sisters,105929161.0,30000000.0,13922855.0,6.0,118,60862.0,2.35
47,The Forest,30687600.0,10000000.0,12741176.0,4.8,93,38204.0,1.85
48,Ride Along 2,125186461.0,40000000.0,34040000.0,5.9,102,51130.0,2.35
49,The Boy,67159402.0,9000000.0,10778392.0,6.0,97,74119.0,2.35
50,Dirty Grandpa,105078449.0,27500000.0,11111875.0,5.9,102,107445.0,2.35
51,The Finest Hours,15265660.0,80000000.0,10288932.0,6.7,117,58693.0,2.39
52,Gods of Egypt,150680864.0,140000000.0,14123903.0,5.4,127,100295.0,2.35
53,10 Cloverfield Lane,110216998.0,15000000.0,24702752.0,7.2,103,275387.0,2.35
54,Zootopia,1023784195.0,150000000.0,75063401.0,8.0,108,407563.0,2.39
55,Whiskey Tango Foxtrot,24939010.0,35000000.0,7443007.0,6.6,112,47765.0,1.85
56,My Big Fat Greek Wedding 2,92096558.0,18000000.0,17861950.0,6.0,94,27090.0,2.39
57,The Huntsman: Winter's War,165536477.0,115000000.0,19445035.0,6.1,114,93025.0,2.39
58,Neighbors 2: Sorority Rising,108872656.0,35000000.0,21760405.0,5.7,92,108396.0,2.35
59,Money Monster,93466095.0,27000000.0,14788157.0,6.5,98,90395.0,2.39
60,Barbershop: The Next Cut,55030051.0,20000000.0,20242415.0,5.9,111,13776.0,1.85
61,Finding Dory,1028570889.0,200000000.0,135060273.0,7.3,97,226215.0,1.78
62,The Nice Guys,62788218.0,50000000.0,11203270.0,7.4,116,257567.0,2.39
63,Alvin and the Chipmunks: The Road Chip,249517956.0,90000000.0,14287159.0,5.0,92,15569.0,1.85
64,The Shallows,119100758.0,17000000.0,16800868.0,6.3,86,113452.0,2.35
65,Alice Through the Looking Glass,299455833.0,170000000.0,28112000.0,6.2,113,85953.0,1.85
66,The BFG,199905224.0,140000000.0,19584969.0,6.4,117,73219.0,1.78
67,Sausage Party,141359583.0,19000000.0,33600000.0,6.1,89,167063.0,1.85
68,Café Society,34314223.0,30000000.0,359289.0,6.6,96,66475.0,2.00
69,Swiss Army Man,4121261.0,3000000.0,674288.0,7.0,97,98750.0,2.39:1
70,Teenage Mutant Ninja Turtles: Out of the Shadows,245623848.0,135000000.0,165685.0,6.0,112,80695.0,2.35
71,Ghostbusters,229147509.0,144000000.0,46018755.0,5.2,116,195858.0,1.43
72,Central Intelligence,217196811.0,50000000.0,35535250.0,6.3,107,149124.0,2.35
73,Jason Bourne,415484914.0,120000000.0,59215365.0,6.6,123,198723.0,2.39
74,The Purge: Election Year,118685662.0,10000000.0,30870000.0,6.0,108,84847.0,2.39
75,Mike and Dave Need Wedding Dates,56148540.0,33000000.0,16628170.0,6.0,98,78700.0,2.39
76,Ice Age: Collision Course,408579038.0,105000000.0,21373064.0,5.7,94,52643.0,1.78
77,Lights Out,148868835.0,4900000.0,21688103.0,6.3,81,107723.0,2.35
78,Pete's Dragon,143695338.0,65000000.0,21514095.0,6.7,102,51565.0,2.35
79,Nerve,33003464.0,20000000.0,9445456.0,6.5,96,108985.0,2.35
80,Sully,240797623.0,60000000.0,35028301.0,7.4,96,219878.0,1.90
81,Bad Moms,183936074.0,20000000.0,23817340.0,6.2,100,107967.0,2.39
82,Hell or High Water,26749794.0,12000000.0,621329.0,7.6,102,189962.0,2.35
83,Southside with You,7000000.0,1500000.0,2868956.0,6.4,84,7523.0,2.35
84,Don't Breathe,159047649.0,9900000.0,26411706.0,7.1,88,203175.0,2.35
85,The Magnificent Seven,162526238.0,90000000.0,34703397.0,6.9,132,176514.0,2.39
86,Moonlight,55561162.0,1500000.0,1488740.0,7.4,111,250038.0,2.39
87,Masterminds,17281714.0,25000000.0,6541205.0,5.8,95,47893.0,1.78
88,Kubo and the Two Strings,76257813.0,60000000.0,12608372.0,7.8,101,111774.0,2.35
